CVE ID,Link to CVE,CVSS_Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Type(s),Year
CVE-2019-1020019,https://www.cvedetails.com/cve/CVE-2019-1020019/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1020010,https://www.cvedetails.com/cve/CVE-2019-1020010/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1020008,https://www.cvedetails.com/cve/CVE-2019-1020008/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010314,https://www.cvedetails.com/cve/CVE-2019-1010314/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
CVE-2019-1010306,https://www.cvedetails.com/cve/CVE-2019-1010306/,7.5,Partial,Partial,Partial,Low,Not required,None,Execute Code,2019
CVE-2019-1010305,https://www.cvedetails.com/cve/CVE-2019-1010305/,4.3,Partial,None,None,Medium,Not required,None,Overflow,2019
CVE-2019-1010302,https://www.cvedetails.com/cve/CVE-2019-1010302/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010302,https://www.cvedetails.com/cve/CVE-2019-1010302/,4.3,None,None,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010301,https://www.cvedetails.com/cve/CVE-2019-1010301/,4.3,None,None,Partial,Medium,Not required,None,Denial Of Service,2019
CVE-2019-1010301,https://www.cvedetails.com/cve/CVE-2019-1010301/,4.3,None,None,Partial,Medium,Not required,None,Overflow,2019
CVE-2019-1010300,https://www.cvedetails.com/cve/CVE-2019-1010300/,5.0,None,None,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010298,https://www.cvedetails.com/cve/CVE-2019-1010298/,10.0,Complete,Complete,Complete,Low,Not required,None,Execute Code,2019
CVE-2019-1010298,https://www.cvedetails.com/cve/CVE-2019-1010298/,10.0,Complete,Complete,Complete,Low,Not required,None,Overflow,2019
CVE-2019-1010297,https://www.cvedetails.com/cve/CVE-2019-1010297/,10.0,Complete,Complete,Complete,Low,Not required,None,Execute Code,2019
CVE-2019-1010297,https://www.cvedetails.com/cve/CVE-2019-1010297/,10.0,Complete,Complete,Complete,Low,Not required,None,Overflow,2019
CVE-2019-1010296,https://www.cvedetails.com/cve/CVE-2019-1010296/,10.0,Complete,Complete,Complete,Low,Not required,None,Execute Code,2019
CVE-2019-1010296,https://www.cvedetails.com/cve/CVE-2019-1010296/,10.0,Complete,Complete,Complete,Low,Not required,None,Overflow,2019
CVE-2019-1010295,https://www.cvedetails.com/cve/CVE-2019-1010295/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010295,https://www.cvedetails.com/cve/CVE-2019-1010295/,7.5,Partial,Partial,Partial,Low,Not required,None,Memory corruption,2019
CVE-2019-1010293,https://www.cvedetails.com/cve/CVE-2019-1010293/,7.5,Partial,Partial,Partial,Low,Not required,None,Memory corruption,2019
CVE-2019-1010292,https://www.cvedetails.com/cve/CVE-2019-1010292/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2019
CVE-2019-1010292,https://www.cvedetails.com/cve/CVE-2019-1010292/,7.5,Partial,Partial,Partial,Low,Not required,None,Memory corruption,2019
CVE-2019-1010287,https://www.cvedetails.com/cve/CVE-2019-1010287/,4.3,None,Partial,None,Medium,Not required,None,Execute Code,2019
CVE-2019-1010287,https://www.cvedetails.com/cve/CVE-2019-1010287/,4.3,None,Partial,None,Medium,Not required,None,Cross Site Scripting,2019
