CVE ID,#,Product Type,Vendor,Product,Version,Year
CVE-2016-1000217,1,Application,Zotpress Project,Zotpress,*,2016
CVE-2016-1000216,1,Hardware,Ruckus,Wireless H500,-,2016
CVE-2016-1000215,1,Hardware,Ruckus,Wireless H500,-,2016
CVE-2016-1000214,1,Hardware,Ruckus,Wireless H500,-,2016
CVE-2016-1000213,1,Hardware,Ruckus,Wireless H500,-,2016
CVE-2016-1000156,1,Application,Mailcwp Project,Mailcwp,*,2016
CVE-2016-1000155,1,Application,Wpsolr,Wpsolr-search-engine,7.6,2016
CVE-2016-1000154,1,Application,Browserweb,Whizz,*,2016
CVE-2016-1000153,1,Application,Tidio-gallery Project,Tidio-gallery,*,2016
CVE-2016-1000152,1,Application,Tidio-form Project,Tidio-form,1.0,2016
CVE-2016-1000151,1,Application,Tera-charts Project,Tera-charts,1.0,2016
CVE-2016-1000150,1,Application,Oxil,Simplified-content,1.0.0,2016
CVE-2016-1000149,1,Application,Simpel-reserveren Project,Simpel-reserveren,*,2016
CVE-2016-1000148,1,Application,S3-video Project,S3-video,*,2016
CVE-2016-1000147,1,Application,Recipes-writer Project,Recipes-writer,*,2016
CVE-2016-1000146,1,Application,Pondol-formmail Project,Pondol-formmail,*,2016
CVE-2016-1000145,1,Application,Pondol-carousel Project,Pondol-carousel,1.0,2016
CVE-2016-1000144,1,Application,Photoxhibit Project,Photoxhibit,*,2016
CVE-2016-1000143,1,Application,Photoxhibit Project,Photoxhibit,*,2016
CVE-2016-1000142,1,Application,Parsi-font Project,Parsi-font,4.2.5,2016
CVE-2016-1000141,1,Application,Page-layout-builder Project,Page-layout-builder,*,2016
CVE-2016-1000140,1,Application,New-year-firework Project,New-year-firework,*,2016
CVE-2016-1000139,1,Application,Infusionsoft Project,Infusionsoft,*,2016
CVE-2016-1000138,1,Application,Indexisto Project,Indexisto,*,2016
CVE-2016-1000137,1,Application,Hero-maps-pro Project,Hero-maps-pro,*,2016
CVE-2016-1000136,1,Application,Heat-trackr Project,Heat-trackr,1.0,2016
CVE-2016-1000135,1,Application,Hdw-tube Project,Hdw-tube,*,2016
CVE-2016-1000134,1,Application,Hdw-tube Project,Hdw-tube,*,2016
CVE-2016-1000133,1,Application,Designsandcode,Forget About Shortcode Buttons,*,2016
CVE-2016-1000132,1,Application,Cminds,Tooltip Glossary,*,2016
CVE-2016-1000131,1,Application,E-search Project,Esearch,1.0,2016
CVE-2016-1000130,1,Application,E-search Project,E-search,1.0,2016
CVE-2016-1000129,1,Application,Defa-online-image-protector Project,Defa-online-image-protector,*,2016
CVE-2016-1000128,1,Application,Anti-plagiarism Project,Anti-plagiarism,*,2016
CVE-2016-1000127,1,Application,Ajax-random-post Project,Ajax-random-post,*,2016
CVE-2016-1000126,1,Application,Admin-font-editor Project,Admin-font-editor,*,2016
CVE-2016-1000125,1,Application,Huge-it,Huge-it Catalog,1.0.7,2016
CVE-2016-1000124,1,Application,Huge-it,Portfolio Gallery,1.0.6,2016
CVE-2016-1000123,1,Application,Huge-it,Video Gallery,1.0.9,2016
CVE-2016-1000122,1,Application,Huge-it,Slider,1.0.9,2016
CVE-2016-1000120,1,Application,Huge-it,Catalog,1.0.4,2016
CVE-2016-1000119,1,Application,Huge-it,Catalog,1.0.4,2016
CVE-2016-1000118,1,Application,Huge-it,Slideshow,1.0.4,2016
CVE-2016-1000117,1,Application,Huge-it,Slideshow,1.0.4,2016
CVE-2016-1000116,1,Application,Huge-it,Portfolio Gallery Manager,1.1.5,2016
