CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2017-1002153,https://www.cvedetails.com/cve/CVE-2017-1002153/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1002151,https://www.cvedetails.com/cve/CVE-2017-1002151/,5.0,Partial,None,None,Not required,None,-
CVE-2017-1002150,https://www.cvedetails.com/cve/CVE-2017-1002150/,5.8,Partial,Partial,None,Not required,None,CSRF
CVE-2017-1002100,https://www.cvedetails.com/cve/CVE-2017-1002100/,4.0,Partial,None,None,???,None,Obtain Information
CVE-2017-1002028,https://www.cvedetails.com/cve/CVE-2017-1002028/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002027,https://www.cvedetails.com/cve/CVE-2017-1002027/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002026,https://www.cvedetails.com/cve/CVE-2017-1002026/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2017-1002025,https://www.cvedetails.com/cve/CVE-2017-1002025/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2017-1002024,https://www.cvedetails.com/cve/CVE-2017-1002024/,4.0,None,Partial,None,???,None,-
CVE-2017-1002023,https://www.cvedetails.com/cve/CVE-2017-1002023/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002022,https://www.cvedetails.com/cve/CVE-2017-1002022/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002021,https://www.cvedetails.com/cve/CVE-2017-1002021/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002020,https://www.cvedetails.com/cve/CVE-2017-1002020/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002019,https://www.cvedetails.com/cve/CVE-2017-1002019/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002018,https://www.cvedetails.com/cve/CVE-2017-1002018/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002017,https://www.cvedetails.com/cve/CVE-2017-1002017/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2017-1002016,https://www.cvedetails.com/cve/CVE-2017-1002016/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1002015,https://www.cvedetails.com/cve/CVE-2017-1002015/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002014,https://www.cvedetails.com/cve/CVE-2017-1002014/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002013,https://www.cvedetails.com/cve/CVE-2017-1002013/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002012,https://www.cvedetails.com/cve/CVE-2017-1002012/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002010,https://www.cvedetails.com/cve/CVE-2017-1002010/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002009,https://www.cvedetails.com/cve/CVE-2017-1002009/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2017-1002008,https://www.cvedetails.com/cve/CVE-2017-1002008/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1002007,https://www.cvedetails.com/cve/CVE-2017-1002007/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1002006,https://www.cvedetails.com/cve/CVE-2017-1002006/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1002005,https://www.cvedetails.com/cve/CVE-2017-1002005/,5.0,None,Partial,None,Not required,None,Sql Injection
CVE-2017-1002004,https://www.cvedetails.com/cve/CVE-2017-1002004/,5.0,None,Partial,None,Not required,None,Sql Injection
CVE-2017-1002003,https://www.cvedetails.com/cve/CVE-2017-1002003/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1002002,https://www.cvedetails.com/cve/CVE-2017-1002002/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1002001,https://www.cvedetails.com/cve/CVE-2017-1002001/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1002000,https://www.cvedetails.com/cve/CVE-2017-1002000/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1001004,https://www.cvedetails.com/cve/CVE-2017-1001004/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1001003,https://www.cvedetails.com/cve/CVE-2017-1001003/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2017-1001002,https://www.cvedetails.com/cve/CVE-2017-1001002/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1001000,https://www.cvedetails.com/cve/CVE-2017-1001000/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1000410,https://www.cvedetails.com/cve/CVE-2017-1000410/,5.0,Partial,None,None,Not required,None,Bypass a restriction or similar
CVE-2017-1000410,https://www.cvedetails.com/cve/CVE-2017-1000410/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000407,https://www.cvedetails.com/cve/CVE-2017-1000407/,6.1,None,None,Complete,Not required,None,Denial Of Service
CVE-2017-1000406,https://www.cvedetails.com/cve/CVE-2017-1000406/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1000405,https://www.cvedetails.com/cve/CVE-2017-1000405/,6.9,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000385,https://www.cvedetails.com/cve/CVE-2017-1000385/,4.3,Partial,None,None,Not required,None,-
CVE-2017-1000381,https://www.cvedetails.com/cve/CVE-2017-1000381/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000379,https://www.cvedetails.com/cve/CVE-2017-1000379/,7.2,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000378,https://www.cvedetails.com/cve/CVE-2017-1000378/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000377,https://www.cvedetails.com/cve/CVE-2017-1000377/,4.6,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000377,https://www.cvedetails.com/cve/CVE-2017-1000377/,4.6,Partial,Partial,Partial,Not required,None,Bypass a restriction or similar
CVE-2017-1000376,https://www.cvedetails.com/cve/CVE-2017-1000376/,6.9,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2017-1000376,https://www.cvedetails.com/cve/CVE-2017-1000376/,6.9,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000375,https://www.cvedetails.com/cve/CVE-2017-1000375/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000375,https://www.cvedetails.com/cve/CVE-2017-1000375/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000374,https://www.cvedetails.com/cve/CVE-2017-1000374/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000374,https://www.cvedetails.com/cve/CVE-2017-1000374/,7.5,Partial,Partial,Partial,Not required,None,Bypass a restriction or similar
CVE-2017-1000373,https://www.cvedetails.com/cve/CVE-2017-1000373/,6.4,None,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000372,https://www.cvedetails.com/cve/CVE-2017-1000372/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2017-1000372,https://www.cvedetails.com/cve/CVE-2017-1000372/,7.5,Partial,Partial,Partial,Not required,None,Bypass a restriction or similar
CVE-2017-1000371,https://www.cvedetails.com/cve/CVE-2017-1000371/,7.2,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000370,https://www.cvedetails.com/cve/CVE-2017-1000370/,7.2,Complete,Complete,Complete,Not required,None,-
CVE-2017-1000368,https://www.cvedetails.com/cve/CVE-2017-1000368/,7.2,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2017-1000367,https://www.cvedetails.com/cve/CVE-2017-1000367/,6.9,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2017-1000366,https://www.cvedetails.com/cve/CVE-2017-1000366/,7.2,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2017-1000366,https://www.cvedetails.com/cve/CVE-2017-1000366/,7.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000365,https://www.cvedetails.com/cve/CVE-2017-1000365/,7.2,Complete,Complete,Complete,Not required,None,Bypass a restriction or similar
CVE-2017-1000364,https://www.cvedetails.com/cve/CVE-2017-1000364/,6.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000364,https://www.cvedetails.com/cve/CVE-2017-1000364/,6.2,Complete,Complete,Complete,Not required,None,Bypass a restriction or similar
CVE-2017-1000363,https://www.cvedetails.com/cve/CVE-2017-1000363/,7.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2017-1000362,https://www.cvedetails.com/cve/CVE-2017-1000362/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000361,https://www.cvedetails.com/cve/CVE-2017-1000361/,5.0,None,None,Partial,Not required,None,-
