CVE ID,#,Product Type,Vendor,Product,Version,Update,Edition,Language
CVE-2015-8669,1,Application,Phpmyadmin,Phpmyadmin,4.0.0,*,*,*
CVE-2015-8669,2,Application,Phpmyadmin,Phpmyadmin,4.0.1,*,*,*
CVE-2015-8669,3,Application,Phpmyadmin,Phpmyadmin,4.0.2,*,*,*
CVE-2015-8669,4,Application,Phpmyadmin,Phpmyadmin,4.0.3,*,*,*
CVE-2015-8669,5,Application,Phpmyadmin,Phpmyadmin,4.0.4,*,*,*
CVE-2015-8669,6,Application,Phpmyadmin,Phpmyadmin,4.0.4.1,*,*,*
CVE-2015-8669,7,Application,Phpmyadmin,Phpmyadmin,4.0.4.2,*,*,*
CVE-2015-8669,8,Application,Phpmyadmin,Phpmyadmin,4.0.5,*,*,*
CVE-2015-8669,9,Application,Phpmyadmin,Phpmyadmin,4.0.6,*,*,*
CVE-2015-8669,10,Application,Phpmyadmin,Phpmyadmin,4.0.7,*,*,*
CVE-2015-8669,11,Application,Phpmyadmin,Phpmyadmin,4.0.8,*,*,*
CVE-2015-8669,12,Application,Phpmyadmin,Phpmyadmin,4.0.9,*,*,*
CVE-2015-8669,13,Application,Phpmyadmin,Phpmyadmin,4.0.10,*,*,*
CVE-2015-8669,14,Application,Phpmyadmin,Phpmyadmin,4.0.10.1,*,*,*
CVE-2015-8669,15,Application,Phpmyadmin,Phpmyadmin,4.0.10.2,*,*,*
CVE-2015-8669,16,Application,Phpmyadmin,Phpmyadmin,4.0.10.3,*,*,*
CVE-2015-8669,17,Application,Phpmyadmin,Phpmyadmin,4.0.10.4,*,*,*
CVE-2015-8669,18,Application,Phpmyadmin,Phpmyadmin,4.0.10.5,*,*,*
CVE-2015-8669,19,Application,Phpmyadmin,Phpmyadmin,4.0.10.6,*,*,*
CVE-2015-8669,20,Application,Phpmyadmin,Phpmyadmin,4.0.10.7,*,*,*
CVE-2015-8669,21,Application,Phpmyadmin,Phpmyadmin,4.0.10.8,*,*,*
CVE-2015-8669,22,Application,Phpmyadmin,Phpmyadmin,4.0.10.9,*,*,*
CVE-2015-8669,23,Application,Phpmyadmin,Phpmyadmin,4.0.10.10,*,*,*
CVE-2015-8669,24,Application,Phpmyadmin,Phpmyadmin,4.0.10.11,*,*,*
CVE-2015-8669,25,Application,Phpmyadmin,Phpmyadmin,4.4.0,*,*,*
CVE-2015-8669,26,Application,Phpmyadmin,Phpmyadmin,4.4.1,*,*,*
CVE-2015-8669,27,Application,Phpmyadmin,Phpmyadmin,4.4.1.1,*,*,*
CVE-2015-8669,28,Application,Phpmyadmin,Phpmyadmin,4.4.2,*,*,*
CVE-2015-8669,29,Application,Phpmyadmin,Phpmyadmin,4.4.3,*,*,*
CVE-2015-8669,30,Application,Phpmyadmin,Phpmyadmin,4.4.4,*,*,*
CVE-2015-8669,31,Application,Phpmyadmin,Phpmyadmin,4.4.5,*,*,*
CVE-2015-8669,32,Application,Phpmyadmin,Phpmyadmin,4.4.6,*,*,*
CVE-2015-8669,33,Application,Phpmyadmin,Phpmyadmin,4.4.6.1,*,*,*
CVE-2015-8669,34,Application,Phpmyadmin,Phpmyadmin,4.4.7,*,*,*
CVE-2015-8669,35,Application,Phpmyadmin,Phpmyadmin,4.4.8,*,*,*
CVE-2015-8669,36,Application,Phpmyadmin,Phpmyadmin,4.4.9,*,*,*
CVE-2015-8669,37,Application,Phpmyadmin,Phpmyadmin,4.4.10,*,*,*
CVE-2015-8669,38,Application,Phpmyadmin,Phpmyadmin,4.4.11,*,*,*
CVE-2015-8669,39,Application,Phpmyadmin,Phpmyadmin,4.4.12,*,*,*
CVE-2015-8669,40,Application,Phpmyadmin,Phpmyadmin,4.4.13,*,*,*
CVE-2015-8669,41,Application,Phpmyadmin,Phpmyadmin,4.4.13.1,*,*,*
