CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2016-1000217,https://www.cvedetails.com/cve/CVE-2016-1000217/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2016-1000216,https://www.cvedetails.com/cve/CVE-2016-1000216/,9.0,Complete,Complete,Complete,???,None,-
CVE-2016-1000215,https://www.cvedetails.com/cve/CVE-2016-1000215/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2016-1000214,https://www.cvedetails.com/cve/CVE-2016-1000214/,5.0,Partial,None,None,Not required,None,Bypass a restriction or similar
CVE-2016-1000213,https://www.cvedetails.com/cve/CVE-2016-1000213/,6.8,Partial,Partial,Partial,Not required,None,CSRF
CVE-2016-1000156,https://www.cvedetails.com/cve/CVE-2016-1000156/,7.5,Partial,Partial,Partial,Not required,None,-
CVE-2016-1000155,https://www.cvedetails.com/cve/CVE-2016-1000155/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000154,https://www.cvedetails.com/cve/CVE-2016-1000154/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000153,https://www.cvedetails.com/cve/CVE-2016-1000153/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000152,https://www.cvedetails.com/cve/CVE-2016-1000152/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000151,https://www.cvedetails.com/cve/CVE-2016-1000151/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000150,https://www.cvedetails.com/cve/CVE-2016-1000150/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000149,https://www.cvedetails.com/cve/CVE-2016-1000149/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000148,https://www.cvedetails.com/cve/CVE-2016-1000148/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000147,https://www.cvedetails.com/cve/CVE-2016-1000147/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000146,https://www.cvedetails.com/cve/CVE-2016-1000146/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000145,https://www.cvedetails.com/cve/CVE-2016-1000145/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000144,https://www.cvedetails.com/cve/CVE-2016-1000144/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000143,https://www.cvedetails.com/cve/CVE-2016-1000143/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000142,https://www.cvedetails.com/cve/CVE-2016-1000142/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000141,https://www.cvedetails.com/cve/CVE-2016-1000141/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000140,https://www.cvedetails.com/cve/CVE-2016-1000140/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000139,https://www.cvedetails.com/cve/CVE-2016-1000139/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000138,https://www.cvedetails.com/cve/CVE-2016-1000138/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000137,https://www.cvedetails.com/cve/CVE-2016-1000137/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000136,https://www.cvedetails.com/cve/CVE-2016-1000136/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000135,https://www.cvedetails.com/cve/CVE-2016-1000135/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000134,https://www.cvedetails.com/cve/CVE-2016-1000134/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000133,https://www.cvedetails.com/cve/CVE-2016-1000133/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000132,https://www.cvedetails.com/cve/CVE-2016-1000132/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000131,https://www.cvedetails.com/cve/CVE-2016-1000131/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000130,https://www.cvedetails.com/cve/CVE-2016-1000130/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000129,https://www.cvedetails.com/cve/CVE-2016-1000129/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000128,https://www.cvedetails.com/cve/CVE-2016-1000128/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000127,https://www.cvedetails.com/cve/CVE-2016-1000127/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000126,https://www.cvedetails.com/cve/CVE-2016-1000126/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000125,https://www.cvedetails.com/cve/CVE-2016-1000125/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2016-1000124,https://www.cvedetails.com/cve/CVE-2016-1000124/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2016-1000123,https://www.cvedetails.com/cve/CVE-2016-1000123/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2016-1000122,https://www.cvedetails.com/cve/CVE-2016-1000122/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2016-1000122,https://www.cvedetails.com/cve/CVE-2016-1000122/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000120,https://www.cvedetails.com/cve/CVE-2016-1000120/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2016-1000120,https://www.cvedetails.com/cve/CVE-2016-1000120/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000119,https://www.cvedetails.com/cve/CVE-2016-1000119/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000118,https://www.cvedetails.com/cve/CVE-2016-1000118/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000117,https://www.cvedetails.com/cve/CVE-2016-1000117/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000116,https://www.cvedetails.com/cve/CVE-2016-1000116/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2016-1000116,https://www.cvedetails.com/cve/CVE-2016-1000116/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000115,https://www.cvedetails.com/cve/CVE-2016-1000115/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2016-1000115,https://www.cvedetails.com/cve/CVE-2016-1000115/,6.5,Partial,Partial,Partial,???,None,Cross Site Scripting
CVE-2016-1000114,https://www.cvedetails.com/cve/CVE-2016-1000114/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000113,https://www.cvedetails.com/cve/CVE-2016-1000113/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2016-1000113,https://www.cvedetails.com/cve/CVE-2016-1000113/,7.5,Partial,Partial,Partial,Not required,None,Cross Site Scripting
CVE-2016-1000112,https://www.cvedetails.com/cve/CVE-2016-1000112/,9.4,Complete,Complete,None,Not required,None,Directory traversal
CVE-2016-1000033,https://www.cvedetails.com/cve/CVE-2016-1000033/,4.3,Partial,None,None,Not required,None,-
CVE-2016-1000032,https://www.cvedetails.com/cve/CVE-2016-1000032/,5.0,None,Partial,None,Not required,None,-
CVE-2016-1000031,https://www.cvedetails.com/cve/CVE-2016-1000031/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-1000009,https://www.cvedetails.com/cve/CVE-2016-1000009/,5.0,None,Partial,None,Not required,None,-
CVE-2016-1000007,https://www.cvedetails.com/cve/CVE-2016-1000007/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-1000003,https://www.cvedetails.com/cve/CVE-2016-1000003/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-1000001,https://www.cvedetails.com/cve/CVE-2016-1000001/,5.8,Partial,Partial,None,Not required,None,-
CVE-2016-1000000,https://www.cvedetails.com/cve/CVE-2016-1000000/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2016-10088,https://www.cvedetails.com/cve/CVE-2016-10088/,6.9,Complete,Complete,Complete,Not required,None,Denial Of Service
CVE-2016-10085,https://www.cvedetails.com/cve/CVE-2016-10085/,6.5,Partial,Partial,Partial,???,None,File Inclusion
CVE-2016-10084,https://www.cvedetails.com/cve/CVE-2016-10084/,6.5,Partial,Partial,Partial,???,None,File Inclusion
CVE-2016-10083,https://www.cvedetails.com/cve/CVE-2016-10083/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-10082,https://www.cvedetails.com/cve/CVE-2016-10082/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-10082,https://www.cvedetails.com/cve/CVE-2016-10082/,7.5,Partial,Partial,Partial,Not required,None,File Inclusion
CVE-2016-10081,https://www.cvedetails.com/cve/CVE-2016-10081/,9.3,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2016-10074,https://www.cvedetails.com/cve/CVE-2016-10074/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-10072,https://www.cvedetails.com/cve/CVE-2016-10072/,6.9,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2016-10045,https://www.cvedetails.com/cve/CVE-2016-10045/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-10041,https://www.cvedetails.com/cve/CVE-2016-10041/,4.6,Partial,Partial,Partial,???,None,-
CVE-2016-10039,https://www.cvedetails.com/cve/CVE-2016-10039/,7.5,Partial,Partial,Partial,Not required,None,Directory traversal
CVE-2016-10039,https://www.cvedetails.com/cve/CVE-2016-10039/,7.5,Partial,Partial,Partial,Not required,None,File Inclusion
CVE-2016-10038,https://www.cvedetails.com/cve/CVE-2016-10038/,7.5,Partial,Partial,Partial,Not required,None,Directory traversal
CVE-2016-10038,https://www.cvedetails.com/cve/CVE-2016-10038/,7.5,Partial,Partial,Partial,Not required,None,File Inclusion
CVE-2016-10037,https://www.cvedetails.com/cve/CVE-2016-10037/,7.5,Partial,Partial,Partial,Not required,None,Directory traversal
CVE-2016-10037,https://www.cvedetails.com/cve/CVE-2016-10037/,7.5,Partial,Partial,Partial,Not required,None,File Inclusion
CVE-2016-10034,https://www.cvedetails.com/cve/CVE-2016-10034/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-10033,https://www.cvedetails.com/cve/CVE-2016-10033/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2016-10031,https://www.cvedetails.com/cve/CVE-2016-10031/,6.9,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2016-10006,https://www.cvedetails.com/cve/CVE-2016-10006/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-10006,https://www.cvedetails.com/cve/CVE-2016-10006/,4.3,None,Partial,None,Not required,None,Bypass a restriction or similar
CVE-2016-10005,https://www.cvedetails.com/cve/CVE-2016-10005/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2016-9998,https://www.cvedetails.com/cve/CVE-2016-9998/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-9997,https://www.cvedetails.com/cve/CVE-2016-9997/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2016-9967,https://www.cvedetails.com/cve/CVE-2016-9967/,10.0,Complete,Complete,Complete,Not required,None,Gain privileges
CVE-2016-9966,https://www.cvedetails.com/cve/CVE-2016-9966/,10.0,Complete,Complete,Complete,Not required,None,Gain privileges
CVE-2016-9965,https://www.cvedetails.com/cve/CVE-2016-9965/,10.0,Complete,Complete,Complete,Not required,None,Gain privileges
CVE-2016-9964,https://www.cvedetails.com/cve/CVE-2016-9964/,4.3,None,Partial,None,Not required,None,-
CVE-2016-9951,https://www.cvedetails.com/cve/CVE-2016-9951/,4.3,None,None,Partial,Not required,None,Execute Code
CVE-2016-9950,https://www.cvedetails.com/cve/CVE-2016-9950/,9.3,Complete,Complete,Complete,Not required,None,Directory traversal
