CVE ID,#,Product Type,Vendor,Product,Version,Update,Edition,Language
CVE-2020-35926,1,Application,Nanorand Project,Nanorand,*,*,*,*
CVE-2020-35923,1,Application,Ordered-float Project,Ordered-float,*,*,*,*
CVE-2020-35918,1,Application,Hakobaito,Branca,*,*,*,*
CVE-2020-35909,1,Application,Protocol,Multihash,*,*,*,*
CVE-2020-35906,1,Application,Rust-lang,Futures-task,*,*,*,*
CVE-2020-35902,1,Application,Actix,Actix-codec,*,*,*,*
CVE-2020-35901,1,Application,Actix,Actix-http,*,*,*,*
CVE-2020-35898,1,Application,Actix,Actix-utils,*,*,*,*
CVE-2020-35896,1,Application,Ws-rs,Ws-rs,*,*,*,*
CVE-2020-35895,1,Application,Stack-rs Project,Stack-rs,*,*,*,*
CVE-2020-35894,1,Application,Obstack Project,Obstack,*,*,*,*
CVE-2020-35893,1,Application,Simple-slab Project,Simple-slab,*,*,*,*
CVE-2020-35892,1,Application,Simple-slab Project,Simple-slab,*,*,*,*
CVE-2020-35891,1,Application,Ordnung Project,Ordnung,*,*,*,*
CVE-2020-35890,1,Application,Ordnung Project,Ordnung,*,*,*,*
CVE-2020-35889,1,Application,Crayon Project,Crayon,*,*,*,*
CVE-2020-35888,1,Application,Arr Project,ARR,*,*,*,*
CVE-2020-35887,1,Application,Arr Project,ARR,*,*,*,*
CVE-2020-35885,1,Application,Alpm-rs Project,Alpm-rs,*,*,*,*
CVE-2020-35884,1,OS,Fedoraproject,Fedora,34,*,*,*
CVE-2020-35884,2,OS,Fedoraproject,Fedora,35,*,*,*
CVE-2020-35884,3,Application,Tiny-http Project,Tiny-http,*,*,*,*
CVE-2020-35883,1,Application,Mozwire Project,Mozwire,*,*,*,*
CVE-2020-35882,1,Application,Rocket,Rocket,*,*,*,*
CVE-2020-35881,1,Application,Traitobject Project,Traitobject,*,*,*,*
CVE-2020-35880,1,Application,Bigint Project,Bigint,*,*,*,*
CVE-2020-35879,1,Application,Rulinalg Project,Rulinalg,0.4.1,*,*,*
CVE-2020-35878,1,Application,Ozone Project,Ozone,*,*,*,*
