CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2022-36880,https://www.cvedetails.com/cve/CVE-2022-36880/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-36728,https://www.cvedetails.com/cve/CVE-2022-36728/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2022-35861,https://www.cvedetails.com/cve/CVE-2022-35861/,4.6,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2022-35861,https://www.cvedetails.com/cve/CVE-2022-35861/,4.6,Partial,Partial,Partial,Not required,None,Gain privileges
CVE-2022-35861,https://www.cvedetails.com/cve/CVE-2022-35861/,4.6,Partial,Partial,Partial,Not required,None,Directory traversal
CVE-2022-35628,https://www.cvedetails.com/cve/CVE-2022-35628/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2022-35416,https://www.cvedetails.com/cve/CVE-2022-35416/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-35414,https://www.cvedetails.com/cve/CVE-2022-35414/,6.1,Partial,Partial,Complete,Not required,None,
CVE-2022-35411,https://www.cvedetails.com/cve/CVE-2022-35411/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2022-35410,https://www.cvedetails.com/cve/CVE-2022-35410/,5.0,Partial,None,None,Not required,None,Directory traversal
CVE-2022-35410,https://www.cvedetails.com/cve/CVE-2022-35410/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2022-35406,https://www.cvedetails.com/cve/CVE-2022-35406/,4.3,Partial,None,None,Not required,None,
CVE-2022-35403,https://www.cvedetails.com/cve/CVE-2022-35403/,5.0,Partial,None,None,Not required,None,
CVE-2022-35228,https://www.cvedetails.com/cve/CVE-2022-35228/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2022-35227,https://www.cvedetails.com/cve/CVE-2022-35227/,4.3,None,Partial,None,Not required,None,Execute Code
CVE-2022-35227,https://www.cvedetails.com/cve/CVE-2022-35227/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-35225,https://www.cvedetails.com/cve/CVE-2022-35225/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-35224,https://www.cvedetails.com/cve/CVE-2022-35224/,4.3,None,Partial,None,Not required,None,Execute Code
CVE-2022-35224,https://www.cvedetails.com/cve/CVE-2022-35224/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-35172,https://www.cvedetails.com/cve/CVE-2022-35172/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-35171,https://www.cvedetails.com/cve/CVE-2022-35171/,4.3,None,None,Partial,Not required,None,
CVE-2022-35170,https://www.cvedetails.com/cve/CVE-2022-35170/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-35169,https://www.cvedetails.com/cve/CVE-2022-35169/,6.5,Partial,Partial,Partial,,None,Obtain Information
CVE-2022-35168,https://www.cvedetails.com/cve/CVE-2022-35168/,5.0,None,None,Partial,Not required,None,
CVE-2022-34972,https://www.cvedetails.com/cve/CVE-2022-34972/,7.5,Partial,Partial,Partial,Not required,None,Sql Injection
CVE-2022-34918,https://www.cvedetails.com/cve/CVE-2022-34918/,7.2,Complete,Complete,Complete,Not required,None,Overflow
CVE-2022-34914,https://www.cvedetails.com/cve/CVE-2022-34914/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2022-34913,https://www.cvedetails.com/cve/CVE-2022-34913/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2022-34912,https://www.cvedetails.com/cve/CVE-2022-34912/,4.3,None,Partial,None,Not required,None,
CVE-2022-34911,https://www.cvedetails.com/cve/CVE-2022-34911/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2022-34903,https://www.cvedetails.com/cve/CVE-2022-34903/,5.8,Partial,Partial,None,Not required,None,
CVE-2022-34894,https://www.cvedetails.com/cve/CVE-2022-34894/,5.0,Partial,None,None,Not required,None,
