CVE ID,#,Product Type,Vendor,Product,Version
CVE-2021-45911,1,OS,Debian,Debian Linux,9.0
CVE-2021-45911,2,Application,Gif2apng Project,Gif2apng,1.9
CVE-2021-45910,1,OS,Debian,Debian Linux,9.0
CVE-2021-45910,2,Application,Gif2apng Project,Gif2apng,1.9
CVE-2021-45909,1,OS,Debian,Debian Linux,9.0
CVE-2021-45909,2,Application,Gif2apng Project,Gif2apng,1.9
CVE-2021-45908,1,Application,Gif2apng Project,Gif2apng,1.9
CVE-2021-45907,1,Application,Gif2apng Project,Gif2apng,1.9
CVE-2021-45903,1,Application,Salesagility,Suitecrm,*
CVE-2021-45895,1,Application,Netgen,Tags Bundle,*
CVE-2021-45890,1,Application,Authguard Project,Authguard,*
CVE-2021-45885,1,Application,Stormshield,Network Security,*
CVE-2021-45818,1,Application,Safarimontage,Safari Montage,8.7.32
CVE-2021-45814,1,Application,Nettemp,NNT,5.1
CVE-2021-45813,1,Application,Slican,Webcti,1.01 2015
CVE-2021-45720,1,Application,Lru Project,LRU,*
CVE-2021-45719,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45718,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45717,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45716,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45715,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45714,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45713,1,Application,Rusqlite Project,Rusqlite,*
CVE-2021-45712,1,Application,Rust-embed Project,Rust-embed,*
CVE-2021-45711,1,Application,Simple Asn1 Project,Simple Asn1,0.6.0
CVE-2021-45710,1,Application,Tokio Project,Tokio,*
CVE-2021-45709,1,Application,Crypto2 Project,Crypto2,*
CVE-2021-45708,1,Application,Abomonation Project,Abomonation,*
CVE-2021-45707,1,Application,Nix Project,NIX,*
CVE-2021-45706,1,Application,Zeroize Derive Project,Zeroize Derive,*
CVE-2021-45705,1,Application,Nanorand Project,Nanorand,*
CVE-2021-45704,1,Application,Metrics-util Project,Metrics-util,*
CVE-2021-45703,1,Application,Tectonic Xdv Project,Tectonic Xdv,*
CVE-2021-45702,1,Application,Linuxfoundation,Tremor-script,*
CVE-2021-45701,1,Application,Linuxfoundation,Tremor-script,*
CVE-2021-45700,1,Application,Nervos,CKB,*
CVE-2021-45699,1,Application,Nervos,CKB,*
CVE-2021-45698,1,Application,Nervos,CKB,*
CVE-2021-45697,1,Application,Nervos,Molecule,*
CVE-2021-45696,1,Application,Sha2 Project,Sha2,0.9.7
CVE-2021-45695,1,Application,Mopa Project,Mopa,*
CVE-2021-45694,1,Application,Rdiff Project,Rdiff,*
CVE-2021-45693,1,Application,Messagepack-rs Project,Messagepack-rs,*
CVE-2021-45692,1,Application,Messagepack-rs Project,Messagepack-rs,*
CVE-2021-45691,1,Application,Messagepack-rs Project,Messagepack-rs,*
CVE-2021-45690,1,Application,Messagepack-rs Project,Messagepack-rs,*
CVE-2021-45689,1,Application,Gfx-auxil Project,Gfx-auxil,*
CVE-2021-45688,1,Application,Ash Project,ASH,*
CVE-2021-45687,1,Application,Raw-cpuid Project,Raw-cpuid,*
CVE-2021-45686,1,Application,Csv-sniffer Project,Csv-sniffer,0.0.1
