CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2020-35931,https://www.cvedetails.com/cve/CVE-2020-35931/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2020-35926,https://www.cvedetails.com/cve/CVE-2020-35926/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2020-35923,https://www.cvedetails.com/cve/CVE-2020-35923/,4.9,None,None,Complete,Not required,None,
CVE-2020-35918,https://www.cvedetails.com/cve/CVE-2020-35918/,4.9,None,None,Complete,Not required,None,
CVE-2020-35909,https://www.cvedetails.com/cve/CVE-2020-35909/,7.8,None,None,Complete,Not required,None,
CVE-2020-35906,https://www.cvedetails.com/cve/CVE-2020-35906/,7.2,Complete,Complete,Complete,Not required,None,
CVE-2020-35902,https://www.cvedetails.com/cve/CVE-2020-35902/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2020-35901,https://www.cvedetails.com/cve/CVE-2020-35901/,5.0,None,None,Partial,Not required,None,
CVE-2020-35898,https://www.cvedetails.com/cve/CVE-2020-35898/,6.4,None,Partial,Partial,Not required,None,
CVE-2020-35896,https://www.cvedetails.com/cve/CVE-2020-35896/,5.0,None,None,Partial,Not required,None,
CVE-2020-35895,https://www.cvedetails.com/cve/CVE-2020-35895/,10.0,Complete,Complete,Complete,Not required,None,
CVE-2020-35894,https://www.cvedetails.com/cve/CVE-2020-35894/,5.0,None,Partial,None,Not required,None,
CVE-2020-35893,https://www.cvedetails.com/cve/CVE-2020-35893/,5.0,None,None,Partial,Not required,None,
CVE-2020-35892,https://www.cvedetails.com/cve/CVE-2020-35892/,6.4,Partial,None,Partial,Not required,None,
CVE-2020-35891,https://www.cvedetails.com/cve/CVE-2020-35891/,5.0,None,None,Partial,Not required,None,
CVE-2020-35890,https://www.cvedetails.com/cve/CVE-2020-35890/,5.0,None,None,Partial,Not required,None,
CVE-2020-35889,https://www.cvedetails.com/cve/CVE-2020-35889/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2020-35888,https://www.cvedetails.com/cve/CVE-2020-35888/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2020-35887,https://www.cvedetails.com/cve/CVE-2020-35887/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2020-35885,https://www.cvedetails.com/cve/CVE-2020-35885/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2020-35884,https://www.cvedetails.com/cve/CVE-2020-35884/,6.4,Partial,Partial,None,Not required,None,
CVE-2020-35883,https://www.cvedetails.com/cve/CVE-2020-35883/,6.4,None,Partial,Partial,Not required,None,Directory traversal
CVE-2020-35882,https://www.cvedetails.com/cve/CVE-2020-35882/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2020-35881,https://www.cvedetails.com/cve/CVE-2020-35881/,7.5,Partial,Partial,Partial,Not required,None,Memory corruption
CVE-2020-35880,https://www.cvedetails.com/cve/CVE-2020-35880/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2020-35879,https://www.cvedetails.com/cve/CVE-2020-35879/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2020-35878,https://www.cvedetails.com/cve/CVE-2020-35878/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2020-35877,https://www.cvedetails.com/cve/CVE-2020-35877/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2020-35876,https://www.cvedetails.com/cve/CVE-2020-35876/,7.5,Partial,Partial,Partial,Not required,None,Obtain Information
