CVE ID,#,Product Type,Vendor,Product,Version,Update,Edition,Language
CVE-2022-36880,1,Application,Webmin,Usermin,*,*,*,*
CVE-2022-36880,2,Application,Webmin,Webmin,1.995,*,*,*
CVE-2022-36728,1,Application,Library Management System Project,Library Management System,1.0,*,*,*
CVE-2022-35861,1,Application,Pyenv Project,Pyenv,*,*,*,*
CVE-2022-35628,1,Application,In2code,Living User Experience,*,*,*,*
CVE-2022-35416,1,Application,H3C,Ssl Vpn,*,*,*,*
CVE-2022-35414,1,Application,Qemu,Qemu,*,*,*,*
CVE-2022-35411,1,Application,Rpc.py Project,Rpc.py,*,*,*,*
CVE-2022-35410,1,Application,0xacab,Mat2,*,*,*,*
CVE-2022-35410,2,OS,Debian,Debian Linux,10.0,*,*,*
CVE-2022-35410,3,OS,Debian,Debian Linux,11.0,*,*,*
CVE-2022-35406,1,Application,Portswigger,Burp Suite,*,*,*,*
CVE-2022-35406,2,Application,Portswigger,Burp Suite,*,*,*,*
CVE-2022-35403,1,Application,Zohocorp,Manageengine Assetexplorer,*,*,*,*
CVE-2022-35403,2,Application,Zohocorp,Manageengine Assetexplorer,6.9,6975,*,*
CVE-2022-35403,3,Application,Zohocorp,Manageengine Assetexplorer,6.9,6907,*,*
CVE-2022-35403,4,Application,Zohocorp,Manageengine Assetexplorer,6.9,6902,*,*
CVE-2022-35403,5,Application,Zohocorp,Manageengine Assetexplorer,6.9,6970,*,*
CVE-2022-35403,6,Application,Zohocorp,Manageengine Assetexplorer,6.9,6953,*,*
CVE-2022-35403,7,Application,Zohocorp,Manageengine Assetexplorer,6.9,6976,*,*
CVE-2022-35403,8,Application,Zohocorp,Manageengine Assetexplorer,6.9,6908,*,*
CVE-2022-35403,9,Application,Zohocorp,Manageengine Assetexplorer,6.9,6971,*,*
CVE-2022-35403,10,Application,Zohocorp,Manageengine Assetexplorer,6.9,6903,*,*
CVE-2022-35403,11,Application,Zohocorp,Manageengine Assetexplorer,6.9,6954,*,*
CVE-2022-35403,12,Application,Zohocorp,Manageengine Assetexplorer,6.9,6909,*,*
CVE-2022-35403,13,Application,Zohocorp,Manageengine Assetexplorer,6.9,6972,*,*
CVE-2022-35403,14,Application,Zohocorp,Manageengine Assetexplorer,6.9,6904,*,*
CVE-2022-35403,15,Application,Zohocorp,Manageengine Assetexplorer,6.9,6955,*,*
CVE-2022-35403,16,Application,Zohocorp,Manageengine Assetexplorer,6.9,6950,*,*
CVE-2022-35403,17,Application,Zohocorp,Manageengine Assetexplorer,6.9,6973,*,*
CVE-2022-35403,18,Application,Zohocorp,Manageengine Assetexplorer,6.9,6905,*,*
CVE-2022-35403,19,Application,Zohocorp,Manageengine Assetexplorer,6.9,6956,*,*
CVE-2022-35403,20,Application,Zohocorp,Manageengine Assetexplorer,6.9,6900,*,*
CVE-2022-35403,21,Application,Zohocorp,Manageengine Assetexplorer,6.9,6951,*,*
CVE-2022-35403,22,Application,Zohocorp,Manageengine Assetexplorer,6.9,6974,*,*
CVE-2022-35403,23,Application,Zohocorp,Manageengine Assetexplorer,6.9,6906,*,*
CVE-2022-35403,24,Application,Zohocorp,Manageengine Assetexplorer,6.9,6901,*,*
CVE-2022-35403,25,Application,Zohocorp,Manageengine Assetexplorer,6.9,6957,*,*
CVE-2022-35403,26,Application,Zohocorp,Manageengine Assetexplorer,6.9,6952,*,*
